propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,highlight
85134736,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/88/01/655303734.webp,NB612.AV.IN.,28,5,2200.0,"{'price': {'amount': 2200.0, 'currencySuffix': '€/mes'}}",flat,rent,180.0,True,4,3,barrio La Florida,Sevilla,Sevilla,Nervión,es,La Florida,37.3897425,-5.9825928,False,https://www.idealista.com/inmueble/85134736/,1147,"Magnifica vivienda en alquiler, muy luminosa y con ubicación excelente. Con todos los servicios al alcance, muy bien comunicado con paradas de metro, bus y a 15 minutos andando del centro.  Consta de vestíbulo de entrada, 4 dormitorios, salón con terraza, cocina con office, dos baños y un aseo.  Plaza de garaje en el mismo edificio, incluida en el precio. Azotea transitable y última planta.  Tiene bonitas vistas desde salón y dormitorio principal.  Cocina equipada a estrenar con electrodomésticos, sistema de alarma incluida en el precio, aire acondicionado centralizado, Gas Natural.  El piso se alquila completamente amueblado. Suministro (Luz, gas, agua por parte arrendatario).",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12.0,{'typology': 'flat'},"{'subtitle': 'La Florida, Sevilla', 'title': 'Piso'}",False,False,False,False,False,False,
105293620,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/0a/bf/1247724894.webp,W-02W8AP,43,,1595.0,"{'price': {'amount': 1595.0, 'currencySuffix': '€/mes'}}",flat,rent,108.0,True,2,2,barrio Encarnación-Las Setas,Sevilla,Sevilla,Centro,es,Encarnación-Las Setas,37.3902806,-5.9919217,False,https://www.idealista.com/inmueble/105293620/,368,"APARTAMENTO EN EL CENTRO CON PISCINA MIRANDO A LAS SETAS. Apartamento con garaje y piscina en el entro de Sevilla. La vivienda se encuentra en un perfecto estado con 108 m2 construidos distribuidos en dos habitaciones, una de ellas como principal tipo suite, salón comedor y cocina amueblada, también tiene otro baño pegado a la segunda habitación. El edificio dispone de zonas comunes en las que tiene una piscina con solárium en terraza con vestuarios y gimnasio en segunda planta. Tiene servicio de portería-mantenimiento y otro de limpieza en horario de Lunes a Viernes. La vivienda se encuentra amueblada, aunque la propiedad estaría dispuesta a dos opciones: Una, retirar todos los muebles y alquilarlo vacío o cambiar el mobiliario, en cuyo caso el alquiler seria de 1795 euros. Dispone de plaza de garaje amplia en el mismo edificio. La vivienda se encuentra situada en pleno casco histórico de la ciudad, pegado a la Plaza de la Encarnación y las Setas. Todo tipo de conexiones y servicios públicos así como de centros comerciales y zonas de ocio. Un edificio tranquilo en un sitio inmejorable para disfrutar de la ciudad a un paso. Acceso para minusválidos en todas las estancias del edificio.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",15.0,{'typology': 'flat'},"{'subtitle': 'Encarnación-Las Setas, Sevilla', 'title': 'Piso'}",False,False,False,False,False,False,
105382893,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/f4/88/1255053562.webp,AVZ08687,30,1,1650.0,"{'price': {'amount': 1650.0, 'currencySuffix': '€/mes'}}",flat,rent,100.0,True,3,2,barrio Puerta Carmona-Puerta Osario-Amador de los Ríos,Sevilla,Sevilla,Centro,es,Puerta Carmona-Puerta Osario-Amador de los Ríos,37.3896057,-5.9846352,False,https://www.idealista.com/inmueble/105382893/,966,"Disfruta viviendo en este acogedor y elegante piso en el que no le falta un detalle, se ha aprovechado cada rincón haciendo una vivienda práctica, sin perder ni en diseño ni calidades. Ubicada en una zona inmejorable junto al casco y histórico, rodeada de todo tipo de servicios, con buena comunicación para moverse por la ciudad. Situada en una primera planta con ascensor, la vivienda se distribuye en una gran cocina totalmente equipada y amueblada, con los electrodomésticos (frigorífico, horno, microondas, campana, vitrocerámica, lavadora-secadora, lavavajillas,... , despensa, desayunador, zonas de almacenamiento... integrados, mesa comedor con sillas, zona de estar con tv y sofá, en esta estancia dispone tanto de Split como de ventilador de techo, muy luminosa con salida a la terraza. Dos baños uno de ellos en suite, ambos de diseño con placa de ducha, tiene 3 habitaciones, una de ellas habilitada como sala de estar con sofá, mesa, Split, tv,... y las otras dos como dormitorios, uno doble con Split y ventilador de techo, armario empotrado en todo el lateral de la habitación con acceso al baño y otro individual, con split y armario empotrado en todo el lateral de la habitación. La vivienda también dispone de un trastero. NO ADMITE MASCOTA No pierdas la oportunidad, llámanos!",False,good,False,True,,17.0,{'typology': 'flat'},"{'subtitle': 'Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla', 'title': 'Piso'}",False,False,False,False,False,False,
27119757,https://img4.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/92/38/82/1250955886.webp,v59,14,2,700.0,"{'price': {'amount': 700.0, 'currencySuffix': '€/mes'}}",flat,rent,75.0,True,1,1,"calle Lopez de Arenas, 1",Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.387053,-5.9977913,True,https://www.idealista.com/inmueble/27119757/,263,"Amplia vivienda en el corazón del Arenal. Privilegiada ubicación en la zona del casco historico mas demandada.  La vivienda se encuentra en una segunda planta sin ascensor. Es exterior con un balcón a la calle.  La distribución en completamente diáfana con espacios muy amplios, aunque por la distribución del inmueble existe una zona independiente para el dormitorio. Aire acondicionado. La vivienda se alquila sin amueblar. La cocina esta amueblada  Duración mínima del contrato de un año ABSTENERSE EMPRESAS DE EXPLOTACION TURISTICA. Disponibilidad inmediata.",False,good,False,False,,9.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso en calle Lopez de Arenas, 1'}",False,False,False,False,False,False,
104928282,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/a1/4f/1236435400.webp,123581624,23,bj,1490.0,"{'price': {'amount': 1490.0, 'currencySuffix': '€/mes'}}",flat,rent,146.0,False,2,2,plaza Cristo de Burgos,Sevilla,Sevilla,Centro,es,Encarnación-Las Setas,37.3913883,-5.98828,False,https://www.idealista.com/inmueble/104928282/,710,"KámarAljarafe, la agencia que te acompaña a tu nuevo hogar.  Descubre este amplio piso en alquiler se encuentra en la zona de Alfalfa en Sevilla Capital. Con una superficie total de 146 m² y 135 m² útiles, este piso consta de 2 habitaciones dobles, 2 baños, aire acondicionado (frío y calor), armarios empotrados, calefacción eléctrica y orientación sureste. Con más de 50 años de antigüedad, se encuentra en buen estado de conservación y se alquila amueblado. Los suelos son de parquet, y cuenta con un patio interior que le aporta luminosidad. Si buscas comodidad en el corazón de Sevilla, ¡este piso es ideal para ti!",False,good,False,False,,10.0,{'typology': 'flat'},"{'subtitle': 'Encarnación-Las Setas, Sevilla', 'title': 'Piso en plaza Cristo de Burgos'}",False,False,False,False,False,False,
105790663,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/be/7a/1263100787.webp,T000081ARSEV,21,bj,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mes'}}",flat,rent,101.0,True,3,2,barrio San Bernardo - Avenida de Cádiz,Sevilla,Sevilla,Nervión,es,San Bernardo - Avenida de Cádiz,37.381369,-5.9872496,False,https://www.idealista.com/inmueble/105790663/,1082,"REF: T000081ARSEV Disponible desde ya *CONTRATO ALQUILER DE TEMPORADA* Fantastico piso en alquiler con superficie de 101m², muy luminoso. Planta Baja, exterior La vivienda se entrega no amueblada y en buen estado de conservación. Distribuida en: - salón comedor - 3 habitaciones (2 dobles y 1 individual) - 2 baños completos - cocina equipada Dispone de aire acondicionado y calefaccion. Gastos de comunidad e IBI incluidos en el precio. No se aceptan mascotas Finca sin ascensor [EXTRA] San Bernardo es un lugar que se encuentra cercano al centro de la ciudad de Sevilla, Andalucía, España. Con los musulmanes fue un arrabal a extramuros de la ciudad, junto a una laguna (al-buhaira en árabe). La laguna fue desecada en el reinado de Al-Mu'tamid, creándose unas huertas en la zona y, en el siglo XII, Abu Yacub Yusuf construyó un palacio con jardines junto a dichas huertas. En la actualidad el barrio colindante al de San Bernardo conserva el nombre de la Buhaira. Para más información, contactar con el equipo de Seattle Properties.",False,good,False,False,,14.0,{'typology': 'flat'},"{'subtitle': 'San Bernardo - Avenida de Cádiz, Sevilla', 'title': 'Piso'}",False,False,False,False,False,False,
102580777,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/e2/e2/1160253783.webp,123581409,35,2,2000.0,"{'price': {'amount': 2000.0, 'currencySuffix': '€/mes'}}",flat,rent,133.0,True,4,3,paseo de Cristóbal Colón,Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.3849971,-6.0009823,False,https://www.idealista.com/inmueble/102580777/,626,"KámarAljarafe, vuestra agencia de confianza, os presenta este impresionante dúplex en alquiler se ubicado estratégicamente junto a la majestuosa Avenida de Colón en Sevilla, ofreciendo una experiencia de vida única en una de las ciudades más vibrantes de España. Con un espacio útil de 120 metros cuadrados, esta vivienda se distribuye de manera armoniosa en dos plantas. Este joya arquitectónica se ofrece totalmete amueblada con muebles de primerísima calidad. En la primera planta, te recibirá una luminosa y moderna cocina totalmente equipada. El espacioso salón, con una atmósfera acogedora, es perfecto para el descanso y el entretenimiento. Además, encontrarás un elegante baño y un dormitorio de generosas dimensiones, garantizando comodidad y privacidad. Desciende a la planta baja y descubre tres amplias habitaciones, una de ellas con baño privado, brindándote el lujo de la intimidad. Un segundo baño independiente completa este espacio. Pero la verdadera joya de este lugar es la azotea comunitaria, desde donde podrás deleitarte con impresionantes vistas panorámicas del río Guadalquivir y la majestuosa Catedral de Sevilla. Además, su proximidad al casco antiguo te permitirá sumergirte en la riqueza histórica y cultural de la ciudad. Esta es una oportunidad única para vivir en un entorno excepcional que combina lujo, comodidad y belleza en una de las ciudades más fascinantes de España.",True,good,False,True,,15.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso en paseo de Cristóbal Colón'}",False,False,False,False,False,False,
105854261,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/23/34/1265021585.webp,,11,1,700.0,"{'price': {'amount': 700.0, 'currencySuffix': '€/mes'}}",flat,rent,50.0,True,1,1,"calle Jerónimo Hernández, 6",Sevilla,Sevilla,Centro,es,Encarnación-Las Setas,37.3944188,-5.9920423,True,https://www.idealista.com/inmueble/105854261/,718,"FANTÁSTICO APARTAMENTO EN PLENO CENTRO DE SEVILLA. JUNTO A LA ENCARNACIÓN -SETAS. Apartamento con todas las comodidades en el centro de Sevilla, junto a las Setas y palacio de las Dueñas. Inmejorable localización para vivir por su proximidad a Plaza del Duque con el Corte Inglés, Plaza del Salvador y rodeada de todo tipo de comercios y servicios públicos de transporte. Vivienda situada en un edificio en perfecto estado de conservación en una primera planta sin ascensor. El apartamento consta de un dormitorio con cama de matrimonio y armarios empotrados. Cocina americana abierta al salón totalmente amueblado y equipado. Baño completo con placa de ducha. Primeras calidades con suelos de mármol. Terraza comunitaria con tendedero. Muchísima luz por su orientación. DISPONIBLE A PARTIR DEL 1 DE OCTUBRE. Se entrega pintado y limpio para su uso y disfrute. Duración mínima un año. Se puede visitar ya. Comunidad incluida en la renta. Suministros de luz y agua aparte. NO DUDE EN CONTACTAR CON NOSOTROS PARA CONCERTAR UNA VISITA. GESTIÓN 24. Asesores Inmobiliarios.",False,good,False,False,,14.0,{'typology': 'flat'},"{'subtitle': 'Encarnación-Las Setas, Sevilla', 'title': 'Piso en calle Jerónimo Hernández, 6'}",False,False,False,False,False,False,
101956432,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/52/c2/1141664569.webp,,19,2,775.0,"{'price': {'amount': 775.0, 'currencySuffix': '€/mes'}}",studio,rent,40.0,True,0,1,calle Álvarez Quintero s/n,Sevilla,Sevilla,Centro,es,Santa Cruz - Alfalfa,37.388263,-5.993265,True,https://www.idealista.com/inmueble/101956432/,200,"Encantador y céntrico estudio junto a la catedral de Sevilla, en la Calle Álvarez quintero, una calle tranquila Y peatonal. NO ES ALQUILER DE LARGA ESTANCIA.  Alquiler de Temporada, POR MESES Minimo 2 meses. Los precios CAMBIAN según la duración y los meses que se quieran alquilar.  JULIO775€ AGOSTO 775€ SEPTIEMBRE 925€ OCTUBRE. 950€ RESTO PREGUNTAR El estudio dispone de wifi, cocina con electrodomésticos, cama de matrimonio, ventilador de techo y aire acondicionado En el edificio encontramos una TERRAZA COMPARTIDA donde existen sillas y tumbonas para tomar el sol, también existe un cuarto común con lavadora compartida. SUMINISTROS NO INCLUIDOS.",False,good,False,False,,19.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Santa Cruz - Alfalfa, Sevilla', 'title': 'Estudio en calle Álvarez Quintero s/n'}",False,False,False,False,False,False,
105821749,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5b/cc/03/1264044907.webp,C.h. - 147.07,15,1,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",duplex,rent,91.0,True,2,2,calle San Vicente,Sevilla,Sevilla,Centro,es,San Vicente,37.3980221,-5.9977258,False,https://www.idealista.com/inmueble/105821749/,1069,"Espectacular ático dúplex exterior, en pleno centro de Sevilla, muy cerca de la Basílica del Gran Poder. Tiene aproximadamente 91 metros construidos que se encuentran distribuidos en un amplio salón comedor, 2 dormitorios, un cuarto de baño, un cuarto de aseo aseo y cocina totalmente amueblada y equipada con los electrodomésticos principales. Tiene varios armarios empotrados.  2 terrazas de 14 y 50 metros.  Aire acondicionado frío calor.  Suelo de mármol. Plaza de garaje incluida en el precio.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",13.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'San Vicente, Sevilla', 'title': 'Dúplex en calle San Vicente'}",False,False,False,False,False,False,
