city,propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,parkingSpace,highlight,swimming_pool
Granada,105910969,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/c2/65/1266743278.webp,28,6,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes'}}",flat,rent,100.0,True,3,1,"calle Pedro Antonio de Alarcón, 74",Granada,Granada,Centro,es,Gran Capitán,37.1764312,-3.6083093,True,https://www.idealista.com/inmueble/105910969/,903,"¿Buscas piso para el curso escolar? Aquí te traemos este piso reformado en pleno centro de Granada, rodeado de todo tipo de comercios y servicios al alcance de tu mano, en la misma calle Pedro Antonio de Alarcón. Dispone de un bonito y luminoso salón, cocina completamente equipada, 3 dormitorios, 1 baño y ascensor. ¡Ven a visitarlo ya te encantará! ¡IDEAL ESTUDIANTES! Precio alquiler: 1.100€ con comunidad incluida.",False,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'Gran Capitán, Granada', 'title': 'Piso en calle Pedro Antonio de Alarcón, 74'}",False,False,False,False,False,False,185298,,,False
Granada,105909496,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/fa/37/1266687880.webp,27,,850.0,"{'price': {'amount': 850.0, 'currencySuffix': '€/mes'}}",flat,rent,100.0,,3,2,calle Cisne,Granada,Granada,Los Pajaritos - Plaza de Toros,es,Los Pajaritos,37.183048,-3.6097935,False,https://www.idealista.com/inmueble/105909496/,1406,,False,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Los Pajaritos, Granada', 'title': 'Piso en calle Cisne'}",False,False,False,False,False,False,007--15766,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,False
Granada,105909495,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ec/af/8b/1266688111.webp,10,2,590.0,"{'price': {'amount': 590.0, 'currencySuffix': '€/mes'}}",flat,rent,25.0,True,1,1,calle Misericordia,Granada,Granada,Centro,es,Jardín Botánico,37.1773982,-3.6047994,False,https://www.idealista.com/inmueble/105909495/,663,"Se alquila apartamento totalmente reformado, equipado con cocina abierta, baño completo y zona de dormitorio y estudio, dispone de aire acondicionado, balcón exterior. ubicado en zona centro de Granada muy próximo a facultad de derecho, transportes públicos y todo tipo de servicios. contrato temporal máximo 11 meses. Disponible tambien para ERASMUS, NO SE ACEPTAN PAREJAS.",False,good,False,False,24.0,{'typology': 'flat'},"{'subtitle': 'Jardín Botánico, Granada', 'title': 'Piso en calle Misericordia'}",False,False,False,False,False,False,,,,False
Granada,105908409,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/a7/bd/1266651119.webp,4,1,455.0,"{'price': {'amount': 455.0, 'currencySuffix': '€/mes'}}",studio,rent,30.0,True,0,1,calle San Isidro,Granada,Granada,Figares,es,,37.1696962,-3.599112,False,https://www.idealista.com/inmueble/105908409/,495,"ESTUPENDO ESTUDIO EN PLENO CENTRO SE ALQUILA DE MANERA TEMPORAL, 10 - 11 MESES Bonito estudio amueblado completo con la cocina equipada con todos los electrodomésticos. Cuenta con una cama de 1.35, sofá-cama, y cuarto de baño completo con ducha. Es una primera planta sin ascensor. En el precio está incluida la comunidad. Situado en pleno centro de la capital, con todo lo necesario cercano, transporte, comercio, facultades, restaurantes...",False,good,False,False,15.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Figares, Granada', 'title': 'Estudio en calle San Isidro'}",False,False,False,False,False,False,3398,,,False
Granada,105908278,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/ec/24/1266877388.webp,18,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",flat,rent,146.0,True,4,2,calle Méndez Núñez,Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.1782248,-3.6125244,False,https://www.idealista.com/inmueble/105908278/,1320,"¡Atención estudiantes! Disponible para el curso académico 24/25 disponible para alquilar piso completo o por habitaciones, este piso es una joya en pleno corazón de la ciudad y con una ubicación inmejorable cerca de las universidades y a pocos pasos de Camino Ronda, tendrás todo lo que necesitas al alcance de tu mano este amplio inmueble de 146 m² construidos (135 m² útiles) cuenta con cuatro habitaciones espaciosas, perfectas para compartir con compañeros de estudio el piso dispone de un salón acogedor, dos baños completos, la cocina está amueblada el inmueble esta construido en 1977 y en buen estado, se encuentren la segunda planta de un edificio con ascensor y calefacción central incluida en el precio. Se encuentra rodeado de comercios y servicios con excelentes conexiones de transporte público (autobús y metro), este piso es la opción perfecta para estudiantes que buscan comodidad y una ubicación céntrica. ¡No pierdas esta oportunidad!",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Piso en calle Méndez Núñez'}",False,False,False,False,False,False,,,,False
Granada,101879816,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e4/6f/f2/1136932211.webp,23,3,850.0,"{'price': {'amount': 850.0, 'currencySuffix': '€/mes'}}",flat,rent,90.0,True,2,2,"calle Puentezuelas, 18",Granada,Granada,Centro,es,Recogidas,37.1736111,-3.6015446,True,https://www.idealista.com/inmueble/101879816/,272,"ESTUDIANTES! Piso amueblado, 2 dormitorios y 2 baños, salón amplio, cocina con horno y lavavajillas, calefacción y aire acondicionado. Terraza comunitaria.",False,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Recogidas, Granada', 'title': 'Piso en calle Puentezuelas, 18'}",False,False,False,False,False,False,,,,False
Granada,95390017,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/f9/c6/1266687456.webp,19,5,1000.0,"{'price': {'amount': 1000.0, 'currencySuffix': '€/mes'}}",flat,rent,120.0,True,4,2,"camino de Ronda, 156",Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.179027,-3.611203,True,https://www.idealista.com/inmueble/95390017/,1247,"Piso amueblado, 4 dormitorios, salón, cocina equipada, lavadero, baño y aseo. Comunidad incluida. Situado junto Facultad de Ciencias.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Piso en camino de Ronda, 156'}",False,False,False,False,False,False,,,,False
Granada,98777345,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/75/b5/1023506695.webp,14,4,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",flat,rent,150.0,True,4,2,calle San Juan de Dios,Granada,Granada,Centro,es,Gran Capitán,37.1796531,-3.6037225,False,https://www.idealista.com/inmueble/98777345/,767,"Piso amueblado, luminoso, 4 dormitorios amplios, salón con balcón, cocina nueva, despensa, lavadero, 2 baños, calefacción central, comunidad incluida.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Gran Capitán, Granada', 'title': 'Piso en calle San Juan de Dios'}",False,False,False,False,False,False,,,,False
Granada,98503603,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/3a/7c/1266612214.webp,16,2,1400.0,"{'price': {'amount': 1400.0, 'currencySuffix': '€/mes'}}",flat,rent,100.0,False,4,2,calle Solarillo de Gracia,Granada,Granada,Centro,es,Recogidas,37.1707037,-3.6023129,False,https://www.idealista.com/inmueble/98503603/,506,"Este tranquilo piso en pleno centro con 4 amplios dormitorios, 1 baño y 1 aseo en el que el salón es el punto central de la vivienda permite a los inquilinos mantener sus tiempos de privacidad y estudio y reunirse en una espaciosa zona común para socializar y relajarse. Además disponen de mobiliario a estrenar en los dormitorios y el salón. La comunidad y la calefacción central están incluidas en el precio. No se admiten mascotas. Se solicitará acreditación de ingresos.",False,good,False,True,14.0,{'typology': 'flat'},"{'subtitle': 'Recogidas, Granada', 'title': 'Piso en calle Solarillo de Gracia'}",False,False,False,False,False,False,REF. Y020,,,False
Granada,98620723,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/2d/2a/1018293106.webp,11,2,650.0,"{'price': {'amount': 650.0, 'currencySuffix': '€/mes'}}",flat,rent,45.0,True,1,1,calle Puentezuelas,Granada,Granada,Centro,es,Recogidas,37.1751838,-3.6005196,False,https://www.idealista.com/inmueble/98620723/,211,"Apartamento reformado y amueblado, 1 dormitorio con armario empotrado, sala de estar, cocina equipada, baño, wifi y comunidad incluida.",False,good,False,False,14.0,{'typology': 'flat'},"{'subtitle': 'Recogidas, Granada', 'title': 'Piso en calle Puentezuelas'}",False,False,False,False,False,False,,,,False
