propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,neighborhood,newDevelopmentFinished
105337514,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/c8/df/1249460723.webp,NAVEROS000248V,32,3,435000.0,"{'price': {'amount': 435000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 485000.0, 'priceDropValue': 50000, 'priceDropPercentage': 10}}}",duplex,sale,221.0,True,8,2,barrio Recogidas,Granada,Granada,Centro,es,37.1729523,-3.6021917,False,https://www.idealista.com/inmueble/105337514/,349,"Duplex de cuatro dormitorios, dos baños, salón con terraza, estar, cocina con despensa. Tiene calefacción central y agua caliente con contador individual. Garaje opcional valorado en 45000€.  NOTA: El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco están incluidos honorarios profesionales de la agencia. Las superficies indicadas tienen carácter descriptivo y son aproximadas. La vivienda se vende sin muebles. Visite nuestra web:.",False,good,False,True,,1968.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Recogidas, Granada', 'title': 'Dúplex'}",False,False,False,False,,False,False,Recogidas,
105338272,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/f1/3f/1249107552.webp,12392,32,3,435000.0,"{'price': {'amount': 435000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 485000.0, 'priceDropValue': 50000, 'priceDropPercentage': 10}}}",duplex,sale,221.0,True,8,2,calle General Narváez,Granada,Granada,Centro,es,37.1706188,-3.6030092,False,https://www.idealista.com/inmueble/105338272/,555,"Duplex de cuatro dormitorios, dos baños, salón con terraza, estar, cocina con despensa. Tiene calefacción central y agua caliente con contador individual. Garaje opcional valorado en 45000€.  NOTA: El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco están incluidos honorarios profesionales de la agencia. Las superficies indicadas tienen carácter descriptivo y son aproximadas. La vivienda se vende sin muebles.",False,good,False,True,,1968.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Recogidas, Granada', 'title': 'Dúplex en calle General Narváez'}",False,False,False,False,,False,False,Recogidas,
105656872,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/4c/44/1259015524.webp,EE05,26,2,174900.0,"{'price': {'amount': 174900.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 195000.0, 'priceDropValue': 20100, 'priceDropPercentage': 10}}}",flat,sale,75.0,True,1,1,Figares,Granada,Granada,Figares,es,37.1665811,-3.6050865,False,https://www.idealista.com/inmueble/105656872/,1020,"Ponemos a la venta esta preciosa vivienda situada en uno de los barrios con mas demanda en la ciudad de Granada, Barrio Fígares.  A escasos metros de Calle Alhamar y Camino de Ronda, con fácil y rápido acceso a la autovía y rodeado de todo tipo de servicios y comercios, paradas de bus, taxi, y metro, centros médicos, centros comerciales y grandes supermercados. La vivienda cuenta con un amplio dormitorio con armarios empotrados, muebles de almacenaje hechos a medida y zapatero, preciosa cocina completamente amueblada y equipada con electrodomésticos, pequeña habitación (actualmente habilitada como trastero), amplio y acogedor salón con impresionante biblioteca y baño completo con plato de ducha. El pasillo cuenta con armarios empotrados con gran capacidad.  Completamente reformado con materiales de primera calidad, tarima flotante y ventanas con doble acristalamiento oscilobatientes. Si no quieres ni pensar en reformas, le invitamos a que venga a visitarlo, porque la calidad y el buen gusto son dos de los calificativos mas acertados para este inmueble. Aquí lo tienes listo y ¡ para entrar a vivir! Concierta tu cita sin compromiso  El PVP indicado no incluye: impuestos, gastos de escritura y honorarios agencia. Las superficies expresadas en esta página tienen carácter descriptivo y son aproximadas.",False,good,False,True,,2332.0,{'typology': 'flat'},"{'subtitle': 'Figares, Granada', 'title': 'Piso'}",False,False,False,False,,False,False,,
105336737,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2a/65/76/1249238367.webp,V5848A3,32,3,435000.0,"{'price': {'amount': 435000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 485000.0, 'priceDropValue': 50000, 'priceDropPercentage': 10}}}",duplex,sale,221.0,True,8,2,barrio Recogidas,Granada,Granada,Centro,es,37.1719991,-3.6049675,False,https://www.idealista.com/inmueble/105336737/,616,"V5848A3. Dúplex de cuatro dormitorios, dos baños, salón con terraza, estar, cocina con despensa. Tiene calefacción central y agua caliente con contador individual. Garaje opcional valorado en 45000€.  NOTA: El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco están incluidos honorarios profesionales de la agencia. Las superficies indicadas tienen carácter descriptivo y son aproximadas. La vivienda se vende sin muebles.",False,good,False,True,,1968.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Recogidas, Granada', 'title': 'Dúplex'}",False,False,False,False,,False,False,Recogidas,
105380651,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/a8/4b/1250327827.webp,04887,32,3,435000.0,"{'price': {'amount': 435000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 485000.0, 'priceDropValue': 50000, 'priceDropPercentage': 10}}}",duplex,sale,221.0,True,8,2,barrio Recogidas,Granada,Granada,Centro,es,37.170506,-3.6047202,False,https://www.idealista.com/inmueble/105380651/,679,"Duplex de cuatro dormitorios, dos baños, salón con terraza, estar, cocina con despensa. Tiene calefacción central y agua caliente con contador individual. Garaje opcional valorado en 45000€.  NOTA: El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco están incluidos honorarios profesionales de la agencia. Las superficies indicadas tienen carácter descriptivo y son aproximadas. La vivienda se vende sin muebles.",False,good,False,True,,1968.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Recogidas, Granada', 'title': 'Dúplex'}",False,False,False,False,,False,False,Recogidas,
105334226,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/8d/1a/1248974942.webp,16101,32,3,435000.0,"{'price': {'amount': 435000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 485000.0, 'priceDropValue': 50000, 'priceDropPercentage': 10}}}",duplex,sale,221.0,True,8,2,barrio Recogidas,Granada,Granada,Centro,es,37.1727553,-3.6027912,False,https://www.idealista.com/inmueble/105334226/,406,"Duplex de cuatro dormitorios, dos baños, salón con terraza, estar, cocina con despensa. Tiene calefacción central y agua caliente con contador individual. Garaje opcional valorado en 45000€.  NOTA: El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco están incluidos honorarios profesionales de la agencia. Las superficies indicadas tienen carácter descriptivo y son aproximadas. La vivienda se vende sin muebles.",False,good,False,True,,1968.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Recogidas, Granada', 'title': 'Dúplex'}",False,False,False,False,,False,False,Recogidas,
105334062,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/2f/37/1248968275.webp,000248V,32,3,435000.0,"{'price': {'amount': 435000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 485000.0, 'priceDropValue': 50000, 'priceDropPercentage': 10}}}",duplex,sale,221.0,True,8,2,barrio Recogidas,Granada,Granada,Centro,es,37.1736096,-3.6043391,False,https://www.idealista.com/inmueble/105334062/,517,"Duplex de cuatro dormitorios, dos baños, salón con terraza, estar, cocina con despensa. Tiene calefacción central y agua caliente con contador individual. Garaje opcional valorado en 45000€.  NOTA: El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco están incluidos honorarios profesionales de la agencia. Las superficies indicadas tienen carácter descriptivo y son aproximadas. La vivienda se vende sin muebles.",False,good,False,True,,1968.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Recogidas, Granada', 'title': 'Dúplex'}",False,False,False,False,,False,False,Recogidas,
105831890,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/db/2c/1266094873.webp,0053-02227,31,,690000.0,"{'price': {'amount': 690000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 760000.0, 'priceDropValue': 70000, 'priceDropPercentage': 9}}}",flat,sale,235.0,True,4,2,"calle San Matías, 8",Granada,Granada,Realejo,es,37.1729831,-3.5969057,True,https://www.idealista.com/inmueble/105831890/,192,"Espectacular Ático dúplex en el centro de granada, ponemos en venta este ático de lujo con un salón con chimenea muy espacioso, con una cocina con mucha luz y bonito hall. La vivienda cuenta con 230m2 reales construidos. A continuación nos encontramos el primer dormitorio acompañado de un baño con plato de ducha, el segundo dormitorio con armario empotrado y un baño con bañera bastante amplio y para finalizar con los dormitorios nos encontramos el de matrimonio con baño en suite y un maravilloso vestidor, desde este dormitorio se puede acceder al patio interior de la vivienda. La vivienda cuenta con una segunda planta donde se encuentra un bonito cuarto de estudio y la salida a la espectacular terraza en chill-out, acompañada de una piscina con vistas de la ciudad. El piso dispone de calefacción, Aire acondicionado en algunas de sus estancias y un ascensor que llega directamente a la tu vivienda. ¡Haz tu sueño realidad, que no te lo cuenten! . ""El PVP indicado no incluye impuestos ni gastos de Escritura. Las superficies expresadas en esta publicación tienen carácter descriptivo y son aproximadas. Los precios pueden ser susceptibles de modificación sin previo aviso. Esta vivienda se vende sin muebles. "".",False,good,False,True,,2936.0,{'typology': 'flat'},"{'subtitle': 'San Matías - Pavaneras, Granada', 'title': 'Piso en calle San Matías, 8'}",False,False,True,False,{'groupDescription': 'Top'},False,False,San Matías - Pavaneras,
103134269,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/7f/fe/1179380255.webp,61950SG-VC,55,5,495000.0,"{'price': {'amount': 495000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 539000.0, 'priceDropValue': 44000, 'priceDropPercentage': 8}}}",penthouse,sale,155.0,True,3,2,via gran,Granada,Granada,Centro,es,37.1804731,-3.6016838,False,https://www.idealista.com/inmueble/103134269/,758,"Ponemos a la venta este exclusivo y moderno ático en Gran Vía en el emblemático edificio ""El Americano"". Con tres habitaciones y dos baños esta propiedad redefine la elegancia y el confort. Imagina disfrutar de tus momentos al aire libre mientras contemplas panorámicas impresionantes de la ciudad, desde la Avenida de la Constitución al Mirador de San Miguel Alto, esta terraza es un oasis de tranquilidad en pleno centro urbano. Cada rincón de esta vivienda ha sido meticulosamente diseñado con los mas altos estándares de calidad y estilo, el resultado es un espacio moderno y sofisticado. Las ventanas en la parte superior de la zona abuhardillada inunda la vivienda con luz natural dando como resultado un ambiente cálido y acogedor. Este ático es mas q una vivienda, es una experiencia de vida, desde su ubicación privilegiada hasta su diseño y vistas impresionantes representa el culmen del lujo urbano. No dejes escapar esta oportunidad. Además incluido en el precio dispone una plaza de garaje en el Edificio de Triunfo Jardín *El PVP indicado no incluye impuestos ni gastos ( impuesto sobre transmisiones patrimoniales 7%, gastos de notaria y gastos de registro de propiedad).  Honorarios agencia no incluidos. El cliente tiene derecho al documento informativo abreviado de la vivienda. Validez hasta fin de exclusiva.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3194.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Gran Vía, Granada', 'title': 'Ático en via gran'}",True,True,True,False,{'groupDescription': 'Top'},False,False,Gran Vía,
104630932,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9a/e0/dc/1228105776.webp,0053-02053,89,,299000.0,"{'price': {'amount': 299000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 325000.0, 'priceDropValue': 26000, 'priceDropPercentage': 8}}}",chalet,sale,108.0,,3,2,calle Cruz de la Rauda s/n,Granada,Granada,Albaicín,es,37.1831839,-3.5894953,True,https://www.idealista.com/inmueble/104630932/,1286,"En el Sacromonte, en una de los barrios mas típicos de Granada, rodeada de vegetación y con unas espectaculares vistas a La Alhambra se encuentra esta casa cueva del 1911 rehabilitada completamente en el 2011 Destaca por sus vista inigualables desde el dormitorio principal de la planta superior y un dormitorio auxiliar excavado en la ladera de la montaña en forma de cueva. Esta espectacular vivienda se encuentra situada en la parte alta del Sacromonte, guardando el encanto de las casas típicas de la zona sin prescindir del confort y la calidad de una vivienda de diseño en su interior. En la planta de acceso a la vivienda encontramos un luminoso salón con unos amplios ventanales en cristal y una bonita cocina americana con vistas a la Alhambra y sus jardines. Al fondo del salón encontramos la cueva, actualmente destinada a dormitorio, donde destaca la conservación y rehabilitación de la misma. Esta característica no solo añade un encanto único a la propiedad, sino que también la convierte en una vivienda bioclimática, lo que supone un verdadero privilegio en el centro de Granada. Con respecto a las calidades, la vivienda cuenta con ventanas en madera con doble acristalamiento, suelos en madera en la planta superior y gres en la inferior, escalera en pizarra y cristal, sanitarios de alta gama.  Esta singular vivienda y sus características excepcionales no solo hacen de esta propiedad un hogar ideal, sino que también la posicionan como una inversión muy atractiva para fines turísticos y de alquiler. Aprovechando su ubicación privilegiada en uno de los barrios mas típicos de la ciudad y a escasos minutos del centro. Actualmente no dispone de licencia turística El PVP indicado no incluye impuestos ni gastos de Escritura. Las superficies expresadas en esta publicación tienen carácter descriptivo y son aproximadas. Los precios pueden ser susceptibles de modificación sin previo aviso.",True,good,False,,,2769.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Albaicín, Granada', 'title': 'Casa independiente en calle Cruz de la Rauda s/n'}",False,False,True,False,{'groupDescription': 'Top'},False,False,,
