propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,parkingSpace,highlight
105293926,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/b3/cb/1247732481.webp,41,5,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",flat,rent,82.0,True,2,1,avenida de Dílar,Granada,Granada,Zaidín,es,,37.1607752,-3.6007227,False,https://www.idealista.com/inmueble/105293926/,1496,"AMPLIO APARTAMENTO DE DOS DORMITORIOS LUMINOSO | ZONA ZAIDIN | PRECIO DE ALQUILER INCLUYE LA COMUNIDAD, EL GASTO DE SUMINISTROS A CARGO DEL INQUILINO ref DLR 1669 DE LOS RÍOS INMOBILIARIA se enorgullece en presentar este exclusivo inmueble a estrenar con una reforma integral y vistas espectaculares a la Alhambra. Ubicado en la quinta planta de un edificio con ascensor, este luminoso piso de 82 m² es ideal para aquellos que buscan una vivienda moderna y bien equipada en una de las mejores zonas de Granada. Este piso cuenta con dos habitaciones, ambas exteriores y muy luminosas gracias a sus grandes ventanas de doble acristalamiento con cámara aislante, oscilobatientes y persianas eléctricas. La luminaria de diseño incluye luces indirectas y ajuste de intensidad, creando un ambiente acogedor y elegante en todo el hogar. La cocina, totalmente amueblada y equipada con electrodomésticos a estrenar, incluye una isla que facilita el espacio de trabajo y añade un toque contemporáneo. El sistema de climatización frío/calor por conductos asegura una temperatura agradable durante todo el año. La seguridad es una prioridad en este inmueble, con una puerta de entrada blindada y bombín de alta seguridad. Además, el portal del edificio ha sido recientemente reformado y cuenta con una entrada sin llave, proporcionando mayor comodidad y seguridad a los residentes. Situado en la mejor zona del Zaidin, este piso está a tan solo 10 minutos a pie de Puerta Real y rodeado de una amplia gama de servicios. La parada de metro está a solo 100 metros y el Parking Hípica a 200 metros, lo que facilita el acceso a toda la ciudad. Este exclusivo piso, el único de sus características en el Zaidin, está diseñado para ofrecer el máximo confort y modernidad. No se admiten mascotas y se requiere una fianza de tres meses, además de un estudio económico previo a la visita del inmueble. La disponibilidad es inmediata, ofreciendo una oportunidad única para quienes buscan mudarse sin demora. Este inmueble es adecuado para un máximo de cuatro personas, incluyendo familias con niños y personas con movilidad reducida, ya que tanto el acceso como la vivienda están adaptados. Para más información y para concertar una visita, no dudes en contactar con DE LOS RÍOS INMOBILIARIA. Estamos aquí para ayudarte a encontrar el hogar perfecto que cumpla con todas tus expectativas y necesidades. No dejes pasar esta oportunidad de vivir en un piso que combina lujo, comodidad y una ubicación privilegiada en Granada. REQUISITOS DE ALQUILER No se aceptan mascotas Se debe demostrar solvencia económica antes de la visita  Se pide 1 mes de fianza  se piden 2 meses en concepto de garantía  NOTA:  - El PVP indicado no incluye ni impuestos ni gastos de escritura, tampoco honorarios de se asesoramiento y captación de la propiedad, Esta vivienda se vende sin muebles.  - Las superficies indicadas en esta página tienen carácter descriptivo y son aproximadas.  Contáctanos para más información, atendemos por medio de llamada telefónica + 34 o atención al cliente por WhatsApp  Déjanos tu numero y la referencia del inmueble DLR 1669 y te atenderemos en breve. Horario Lunes a Viernes 9.30am - 8.30pm. Tu ubicación nuestra obsesión Inmobiliaria ubicada en la ciudad de Granada Encuentra más en.",True,good,False,True,15.0,{'typology': 'flat'},"{'subtitle': 'Zaidín, Granada', 'title': 'Piso en avenida de Dílar'}",True,False,False,False,False,False,DLR 1669,,
102443519,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/7b/ca/1255209164.webp,25,bj,900.0,"{'price': {'amount': 900.0, 'currencySuffix': '€/mes'}}",flat,rent,50.0,True,1,1,calle Nueva de San Antón,Granada,Granada,Figares,es,,37.1716743,-3.6012388,False,https://www.idealista.com/inmueble/102443519/,362,"Disponible a partir de septiembre. Excepcional piso en alquiler, ubicado en la calle Nueva de San Antón, en el corazón de Granada. Con 50 metros cuadrados de espacio bien distribuido, esta vivienda ha sido recién amueblada con un enfoque en la decoración moderna. - Precio: 900 € al mes con gastos de comunidad - 50€ calefacción central - Aire acondicionado por conductos en toda la vivienda. - Espacioso y lleno de luz natural. - Decoración moderna que crea un ambiente atractivo y contemporáneo. - No se permiten mascotas. - Se busca inquilino no fumador. - No se alquila a estudiantes. - Necesario demostrar solvencia económica Este piso es una oportunidad única para vivir en el centro de Figares, con un diseño moderno y una ubicación privilegiada. Contáctenos para obtener más información y programar una visita a esta vivienda excepcional. ¡No pierda la oportunidad de vivir en un espacio que refleja la elegancia y el estilo en el corazón de Granada! Inmobiliaria We Care Europe.",True,good,False,True,18.0,{'typology': 'flat'},"{'subtitle': 'Figares, Granada', 'title': 'Piso en calle Nueva de San Antón'}",True,False,False,False,False,False,JL031,,
105840891,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/ec/28/1264609108.webp,21,1,800.0,"{'price': {'amount': 800.0, 'currencySuffix': '€/mes'}}",flat,rent,50.0,True,1,1,"calle Duquesa, 14",Granada,Granada,Centro,es,Catedral,37.1771775,-3.6019793,True,https://www.idealista.com/inmueble/105840891/,456,"Frente al Jardín Botánico de la Facultad de Derecho. No apto para estudiantes. Se oferta en alquiler este precioso piso, muy luminoso y en pleno centro de la ciudad. Con todo tipo de servicios a pocos metros, incluyendo zonas de ocio y restauración, así como paradas de autobús en todas las direcciones. El edificio cuenta con ascensor y en la planta superior no hay vecinos, solo despachos de la Facultad de Derecho, por lo que es tranquilo. Dispone de gran salón comedor con aparato de aire acondicionado bomba de frío y calor, balcones y cocina incorporada equipada en su totalidad, incluyendo lavavajillas, amplio dormitorio con cama de matrimonio y armario empotrado y, finalmente, un cuarto de baño completo recién reformado. Contrato por temporada, máximo once mensualidades. Contacte con los profesionales del sector. Inmogr. es.",False,good,False,True,16.0,{'typology': 'flat'},"{'subtitle': 'Catedral, Granada', 'title': 'Piso en calle Duquesa, 14'}",False,False,False,False,False,False,,,
105744292,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/e1/1d/1261913632.webp,27,4,990.0,"{'price': {'amount': 990.0, 'currencySuffix': '€/mes'}}",flat,rent,154.0,True,4,2,"calle Cristo de Medinaceli, 4",Granada,Granada,Centro,es,Recogidas,37.1714747,-3.6045134,True,https://www.idealista.com/inmueble/105744292/,606,"REFERENCIA 709. ¡Magnífica oportunidad de alquiler en el centro de Granada! Este espacioso piso de cuarta planta ofrece una ubicación inmejorable en el corazón de la ciudad. Consta de cuatro dormitorios, perfectos para familias o para compartir entre amigos, y dos baños completos, brindando comodidad y privacidad. El amplio salón es ideal para disfrutar de momentos de relax y reuniones, mientras que la cocina independiente ofrece un espacio funcional para cocinar con tranquilidad. Además, el piso cuenta con un balcón, donde podrás disfrutar de vistas a la ciudad y momentos al aire libre. Este piso se alquila sin amueblar, lo que te brinda la oportunidad de personalizar cada espacio a tu gusto. No pierdas la oportunidad de vivir en una de las zonas más céntricas y bien comunicadas de Granada, rodeado de todos los servicios y comodidades que la ciudad ofrece. ¡Ven a verlo y empieza a imaginar tu nuevo hogar! Comunidad aparte 110 euros mes.",False,good,False,True,6.0,{'typology': 'flat'},"{'subtitle': 'Recogidas, Granada', 'title': 'Piso en calle Cristo de Medinaceli, 4'}",False,False,False,False,False,False,709,,
105783543,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/31/45/1262880398.webp,23,1,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",flat,rent,120.0,True,4,2,"Arabial, 114",Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.1796614,-3.6129226,True,https://www.idealista.com/inmueble/105783543/,1415,"Piso alquiler CURSO UNIVERSITARIO en calle Arabial. Un amplio y cuidado piso situado en primera planta con ascensor. Dispone de 4 dormitorios siendo tres de ellos muy grandes, dos cuartos de baño, uno con bañera otro con ducha, amplia cocina con frigorífico combi más congelador extra, horno, microondas, vitrocerámica, lavadero con salida a patio. El agua caliente es por gas butano. El piso tiene un amplio y acogedor salon con salida a terracita. Incluimos en el preco calefacción central. Zona consolidada en comercios y servicios, con supermercado justo en la puerta. Autobuses, parada de metro en campus universitario, y muy cerca de facultad de ciencias con proximidad para ir andando a facultad de derecho, traductores. Linea de autobuses para las demás facultades. Buen edificio con ascensor y accesibilidad, Contrato de curso universitario.",True,good,False,True,10.0,{'typology': 'flat'},"{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Piso en Arabial, 114'}",False,False,False,False,False,False,,,
105816474,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/12/32/1263999530.webp,25,6,575.0,"{'price': {'amount': 575.0, 'currencySuffix': '€/mes'}}",flat,rent,50.0,True,1,1,calle Santa Clotilde s/n,Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.1799929,-3.6127979,True,https://www.idealista.com/inmueble/105816474/,1422,"Sale en alquiler estupenda vivienda recién pintada, disponible desde este momento, estupendo para una persona o pareja. Es imprescindible presentar solvencia económica, ideal para personal sanitario, profesorado o estudiantes de doctorado.  La vivienda se encuentra en inmejorable ubicación, junto calle Arabial y Camino de Ronda, a 3 minutos de Plaza de Einstein. Junto al Mercadona, parques y comercios, y bien comunicado con autobuses y parada de metro.  La vivienda se encuentra en una sexta planta, última planta, con luz natural garantizada. Cabe destacar que la vivienda tiene a su disposición un trastero y acceso a una magnífica terraza comunitaria. Sobre la disposición de la vivienda disponemos de un agradable espacio donde conjugan a la perfección un salón con balconada cerrada y una cocina con pasaplatos. Además, dispone de 1 dormitorio independiente con suite baño.  Cabe destacar que dispone de dos aires acondicionados y calefacción centralizada. Sujeto a seguro de protección de alquiler. Contacte con profesionales en el sector.  Inmogr. es.",False,good,False,True,12.0,{'typology': 'flat'},"{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Piso en calle Santa Clotilde s/n'}",False,False,False,False,False,False,,,
105798964,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/fa/34/1263376104.webp,41,1,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes'}}",flat,rent,120.0,True,3,2,calle Arabial s/n,Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.1734129,-3.6093882,True,https://www.idealista.com/inmueble/105798964/,964,"Magnífico piso con vistas al Parque Federico García Lorca, calefacción incluida en el precio, grandes ventanales en el salón y domitorio principal, un oasis en el centro de la ciudad. La vivienda dispone de recibidor, un amplio y luminoso salón-comedor en dos ambientes, cocina office independiente totalmente equipada de electrodomésticos y acceso a lavadero, tres amplios dormitorios, el principal exterior con maravillosas vistas al parque, un gran armario empotrado y baño completo en suite, finalmente, cuenta otro cuarto de baño completo. Contrato sujeto a seguro de protección de alquiler, se prccisa solvencia económica.  Abstenerse estudiantes.  Contacte con los profesionales del sector. Inmogr. es.",False,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Piso en calle Arabial s/n'}",False,False,False,False,False,False,,,
90211892,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/a0/cc/785535645.webp,28,bj,800.0,"{'price': {'amount': 800.0, 'currencySuffix': '€/mes'}}",flat,rent,65.0,True,2,1,santiago s/n,Granada,Granada,Realejo,es,Cuesta Escoriaza - Barranco del Abogado,37.1716824,-3.5925524,True,https://www.idealista.com/inmueble/90211892/,595,"Barrio del Realejo, en calle Santiago, a un paso de Plaza Fortuny.  Bonito apartamento de 2 dormitorios y 1 baño. Decorado con mucho gusto. Salón, 2 dormitorios (principal con cama de matrimonio armario empotrado, dormitorio con 2 camas), baño completo, cocina independiente equipada con todos los electrodomésticos (lavadora, horno, microondas. ). Aire acondicionado. Ubicado en un edificio rehabilitado en planta baja sin barreras arquitectonicas Zona consolidada en todo tipo de servicios, comercios, supermercados, bares, colegios, facultad de arquitectura, centro de lenguas modernas, centro de salud, etc. A 5 minutos del centro de la ciudad caminando, paradas de bus cercanas, gastos de comunidad incluidos en el precio. Contrato de larga duración o de temporada, segun valoracion del perfil de los inquilinos. No se admiten mascotas.",True,good,False,True,12.0,{'typology': 'flat'},"{'subtitle': 'Cuesta Escoriaza - Barranco del Abogado, Granada', 'title': 'Piso en santiago s/n'}",False,False,False,False,False,False,santiago2d,,
105882606,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3a/71/53/1265879687.webp,27,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes'}}",flat,rent,154.0,True,4,2,barrio Ronda - Arabial,Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.1786531,-3.6107424,False,https://www.idealista.com/inmueble/105882606/,1192,"RESERVA ESTAS HABITACIONES PARA EL PRÓXIMO CURSO! Se alquila piso de 4 habitaciones para estudiantes junto a Hipercor, cerca de Ciencias, de Ingeniería Civil, Derecho, Traductores... ; y de todo tipo de comercios, como parada de autobús y metro, de supermercados, de restaurantes, parking, entrada y salida de la autovía.. . Una ubicación estupenda para vivir en Granada. La vivienda consta de: -4 habitaciones con el mobiliario para estudiantes, de las cuales 2 de ellas dispone de cama dobles y las otras dos de cama individuales.  -2 baños completos, uno de ellos con plato de ducha y el otro con bañera. -Cocina independiente y totalmente equipada con todos los electrodomésticos, con un congelador arcón adicional al congelador de la nevera y zona de lavadero. -Amplio y luminoso salón con zona de estar y zona de comedor, con vistas a la calle principal. El edificio dispone de servicio de portería, cámaras de seguridad en todo el bloque y de 3 ascensores, que uno de ellos sube a la 8ª planta, donde están los trasteros. La vivienda cuenta con un gran trastero con llave. Los gastos de la comunidad y la calefacción central están incluidos en el precio. Pregunten disponibilidad. No se admiten mascotas. NOTAS Y POLITICA DE GESTIÓN. Disponibilidad de este inmueble, la publicación de este inmueble en portales y en nuestra página web, no garantiza al 100% la disponibilidad del mismo, consultar siempre disponibilidad con un asesor comercial Alovi, Vivienda disponible únicamente para contratos de alquiler a estudiantes, profesionales, por desplazamientos… es decir, solo por temporadas cortas. Estos arriendos denominados de carácter temporal (vivienda no habitual), son operaciones de alquiler no sujetas a la nueva Ley de Vivienda 12/2023, de 25 de mayo. Suministros, gastos de gestión y honorarios inmobiliarios, no incluidos en el precio de alquiler del inmueble, consultar detalle. La gestión de cita, orden de visitas al piso o fecha y hora de presentación de oferta-reserva de alquiler, no garantiza derecho ni aporta preferencia en la formalización del alquiler de este inmueble. La decisión sobre la aceptación de un candidato al alquiler, solo la tiene el propietario (arrendador), que una vez revise perfiles de candidatos, propuestas y documentación de los ofertantes postulados, libremente decidirá al respecto. Más información y propiedades en.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Piso'}",False,False,False,False,False,False,AL-2611,,
105898233,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c4/25/2c/1266343641.webp,21,8,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mes'}}",penthouse,rent,140.0,True,3,2,calle Neptuno,Granada,Granada,Ronda - Arabial,es,Ronda - Arabial,37.1681554,-3.6056266,False,https://www.idealista.com/inmueble/105898233/,913,"DISPONIBILIDAD INMEDIATA FANTASTICO ATICO REFORMADO A ESTRENAR CON TRES HABITACIONES Y DOS BAÑOS COMPLETOS, suelo de tarima, aire acondicionado en toda la vivienda, cocina con lavadero equipado, dispone de una terraza con vistas despejadas, calefacción central incluida en el precio, dispone de un pequeño trastero, es una planta alta luminosa, se encuentra en calle Neptuno junto parada de metro, bus y centro comerciales, tiendas todo muy cerca. MAS INFO.",False,good,False,True,9.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Ronda - Arabial, Granada', 'title': 'Ático en calle Neptuno'}",False,False,False,False,False,False,,,
